t (s),V (mV)
0,20.2469
1.05,20.2318
2.1,20.2136
3.109,20.1946
4.11,20.1748
5.11,20.154
6.11,20.132
7.109,20.1092
8.109,20.088
9.11,20.0634
10.11,20.0419
11.11,20.0183
12.11,19.9931
13.11,19.9685
14.11,19.9435
15.11,19.9183
16.11,19.8935
17.109,19.8675
18.109,19.8399
19.11,19.8152
20.11,19.7893
21.11,19.7631
22.109,19.7401
23.11,19.713
24.11,19.6867
25.11,19.6607
26.11,19.6342
27.11,19.6083
28.109,19.5823
29.109,19.5563
30.11,19.5298
31.11,19.5035
32.11,19.4772
33.11,19.4499
34.109,19.4251
35.11,19.399
36.11,19.3711
37.109,19.3451
38.11,19.317
39.11,19.2945
40.11,19.2696
41.11,19.2429
42.11,19.2159
43.109,19.192
44.11,19.1679
45.11,19.1396
46.109,19.113
47.11,19.088
48.11,19.0618
49.109,19.0366
50.11,19.0123
51.11,18.9867
52.11,18.9609
53.11,18.9357
54.11,18.9092
55.11,18.885
56.11,18.8596
57.11,18.8345
58.11,18.8091
59.11,18.7842
60.11,18.7592
61.11,18.7334
62.109,18.7096
63.11,18.6851
64.11,18.6595
65.11,18.6344
66.109,18.6094
67.109,18.5849
68.11,18.561
69.11,18.5367
70.109,18.5118
71.11,18.4873
72.11,18.4629
73.11,18.4385
74.109,18.4139
75.109,18.3899
76.11,18.3663
77.11,18.3423
78.11,18.3179
79.109,18.2931
80.109,18.2697
81.11,18.246
82.11,18.2231
83.11,18.1991
84.11,18.176
85.11,18.153
86.109,18.1281
87.109,18.1035
88.11,18.0806
89.11,18.0576
90.109,18.0333
91.11,18.0104
92.109,17.9865
93.11,17.9638
94.11,17.9405
95.11,17.9184
96.109,17.8933
97.109,17.8643
98.11,17.8406
99.11,17.8199
100.11,17.7961
101.11,17.7738
102.109,17.7454
103.11,17.724
104.11,17.7014
105.11,17.6793
106.109,17.6554
107.11,17.6318
108.11,17.6102
109.109,17.5858
110.11,17.5603
111.11,17.5385
112.11,17.517
113.11,17.4941
114.11,17.4719
115.11,17.4493
116.109,17.4268
117.11,17.4043
118.11,17.3813
119.109,17.3591
120.11,17.3368
121.11,17.3148
122.11,17.2923
123.11,17.2699
124.109,17.2473
125.11,17.2247
126.11,17.2027
127.11,17.1804
128.109,17.1588
129.11,17.1362
130.11,17.1148
131.11,17.0927
132.11,17.0698
133.11,17.0474
134.109,17.025
135.11,17.004
136.11,16.9829
137.109,16.9607
138.11,16.9402
139.11,16.9182
140.109,16.897
141.11,16.8755
142.11,16.8552
143.109,16.8328
144.11,16.8118
145.11,16.7912
146.109,16.7682
147.11,16.7476
148.11,16.7275
149.109,16.7058
150.11,16.6849
151.11,16.6634
152.109,16.6428
153.11,16.621
154.11,16.6002
155.109,16.579
156.11,16.5574
157.11,16.5375
158.109,16.5153
159.11,16.4945
160.109,16.4711
161.109,16.4502
162.11,16.4319
163.11,16.4113
164.11,16.3905
165.11,16.3701
166.109,16.3497
167.11,16.3289
168.109,16.3077
169.109,16.287
170.11,16.2665
171.109,16.2468
172.11,16.225
173.11,16.204
174.109,16.1835
175.11,16.1626
176.11,16.142
177.109,16.1215
178.11,16.1004
179.11,16.0794
180.109,16.0592
181.11,16.0384
182.109,16.018
183.11,15.9981
184.11,15.9779
185.109,15.9574
186.11,15.9364
187.109,15.9172
188.109,15.8962
189.11,15.8761
190.11,15.8569
191.11,15.8359
192.11,15.8169
193.109,15.797
194.11,15.7771
195.11,15.7586
196.11,15.7384
197.11,15.7176
198.112,15.7014
199.109,15.6807
200.11,15.6625
201.11,15.6436
202.109,15.6234
203.11,15.6048
204.109,15.5855
205.11,15.5663
206.11,15.547
207.109,15.5282
208.11,15.5094
209.109,15.4902
210.109,15.4724
211.11,15.4532
212.109,15.4332
213.11,15.4155
214.11,15.3956
215.109,15.3771
216.11,15.3583
217.109,15.3395
218.11,15.3199
219.11,15.3004
220.109,15.2815
221.11,15.2623
222.11,15.2429
223.11,15.2242
224.11,15.2053
225.109,15.186
226.11,15.1682
227.11,15.1479
228.109,15.1292
229.11,15.1102
230.11,15.0912
231.109,15.0734
232.11,15.0546
233.11,15.0352
234.109,15.0164
235.11,14.9969
236.11,14.9791
237.109,14.96
238.11,14.9415
239.109,14.9227
240.11,14.9046
241.109,14.8864
242.109,14.8681
243.11,14.8507
244.109,14.8318
245.11,14.8146
246.109,14.7971
247.11,14.7789
248.11,14.7615
249.109,14.7427
250.11,14.7245
251.109,14.7034
252.11,14.6854
253.11,14.6706
254.11,14.6531
255.11,14.6351
256.11,14.6165
257.109,14.5998
258.11,14.5822
259.109,14.5639
260.11,14.5454
261.109,14.5275
262.11,14.5089
263.109,14.4912
264.109,14.4724
265.109,14.4538
266.11,14.434
267.11,14.4155
268.109,14.3982
269.11,14.3794
270.109,14.3617
271.11,14.3439
272.11,14.3263
273.11,14.3078
274.109,14.2909
275.11,14.2738
276.109,14.2565
277.11,14.2386
278.11,14.2227
279.11,14.2059
280.109,14.1888
281.11,14.1728
282.109,14.1547
283.109,14.1371
284.11,14.1215
285.109,14.1034
286.11,14.0875
287.109,14.0703
288.11,14.0541
289.109,14.0352
290.11,14.0154
291.109,13.9982
292.11,13.982
293.109,13.966
294.11,13.9472
295.11,13.931
296.11,13.9147
297.109,13.8974
298.11,13.8806
299.109,13.8634
300.11,13.8471
301.109,13.8319
302.11,13.8143
303.109,13.7985
304.11,13.7821
305.109,13.7661
306.11,13.7489
307.109,13.7335
308.11,13.7176
309.109,13.7013
310.11,13.6845
311.109,13.6674
312.11,13.6493
313.11,13.6316
314.109,13.6142
315.11,13.6004
316.109,13.5848
317.11,13.5689
318.109,13.5517
319.11,13.5361
320.109,13.5189
321.11,13.5031
322.11,13.487
323.109,13.4697
324.11,13.4558
325.109,13.4396
326.11,13.4237
327.11,13.4078
