t (s),V (mV)
0,23.4085
0.992,23.3326
1.992,23.254
2.995,23.1747
3.993,23.0889
4.993,23.0033
5.992,22.916
6.992,22.8285
7.992,22.7411
8.992,22.6525
9.993,22.5641
10.993,22.4749
11.992,22.3838
12.993,22.2965
13.993,22.2094
14.993,22.1216
15.993,22.0346
16.993,21.9465
17.993,21.8564
18.993,21.7688
19.993,21.6857
20.993,21.6004
21.993,21.5144
22.992,21.4302
23.993,21.3453
24.993,21.2612
25.992,21.1763
26.993,21.0933
27.993,21.0098
28.993,20.9272
29.993,20.8447
30.993,20.7629
31.993,20.6812
32.993,20.5991
33.992,20.5174
34.993,20.4377
35.993,20.3565
36.992,20.2768
37.993,20.1968
38.993,20.1177
39.993,20.0384
40.993,19.9596
41.992,19.8813
42.993,19.804
43.993,19.7261
44.992,19.6489
45.993,19.5718
46.992,19.4956
47.993,19.4191
48.993,19.3432
49.992,19.2675
50.993,19.1929
51.993,19.1182
52.993,19.043
53.992,18.9689
54.992,18.8953
55.993,18.8216
56.992,18.7494
57.993,18.6762
58.992,18.6039
59.993,18.5312
60.992,18.4587
61.992,18.3872
62.993,18.3158
63.993,18.2453
64.992,18.1748
65.993,18.105
66.992,18.0344
67.992,17.964
68.993,17.8941
69.992,17.8244
70.993,17.7567
71.992,17.6872
72.992,17.6189
73.993,17.5515
74.993,17.4833
75.993,17.4163
76.992,17.3482
77.993,17.2815
78.993,17.2141
79.992,17.1476
80.993,17.0815
81.992,17.0157
82.992,16.9499
83.993,16.8812
84.992,16.8168
85.993,16.752
86.993,16.6876
87.993,16.6237
88.993,16.5585
89.992,16.4953
90.993,16.4317
91.993,16.3682
92.992,16.3052
93.993,16.243
94.993,16.1798
95.992,16.1182
96.993,16.0565
97.992,15.9942
98.992,15.9328
99.992,15.8716
100.993,15.8104
101.993,15.7498
102.993,15.6901
103.992,15.6293
104.993,15.5694
105.992,15.5103
106.993,15.4514
107.992,15.393
108.993,15.3339
109.992,15.2762
110.993,15.2196
111.992,15.1612
112.993,15.1038
113.992,15.0464
114.992,14.9894
115.993,14.9332
116.993,14.8766
117.992,14.8209
118.993,14.7646
119.993,14.7086
120.992,14.6529
121.993,14.5976
122.993,14.5417
123.992,14.4888
124.992,14.4343
125.993,14.3799
126.992,14.3253
127.993,14.2709
128.992,14.2167
129.993,14.1634
130.992,14.1106
131.993,14.0576
132.992,14.0044
133.993,13.9409
134.993,13.8987
135.992,13.8469
136.993,13.7952
137.993,13.7429
138.992,13.6908
139.993,13.6401
140.992,13.5877
141.993,13.5367
142.993,13.4854
143.992,13.4346
144.993,13.3854
145.993,13.3342
146.993,13.2832
147.992,13.2331
148.993,13.1841
149.992,13.1333
150.992,13.0835
151.992,13.0355
152.992,12.9862
153.992,12.938
154.993,12.8903
155.993,12.8409
156.992,12.7922
157.993,12.7453
158.993,12.6973
159.993,12.6494
160.993,12.6032
161.993,12.5553
162.993,12.5084
163.992,12.4611
164.993,12.4156
165.993,12.3587
166.993,12.3088
167.992,12.265
168.993,12.2196
169.993,12.1725
170.993,12.1246
171.992,12.0708
172.993,12.0332
173.993,11.9873
