time	Freq	W	B2	B1

2022-04-20, 15:29:32	1500 Hz	16 W	1E-3 mbar	3E-4 mbar
2022-04-20, 15:29:34	1500 Hz	15 W	2,6E-5 mbar	3E-4 mbar
2022-04-20, 15:29:36	1500 Hz	15 W	2,2E-5 mbar	2,5E-4 mbar
2022-04-20, 15:29:38	1500 Hz	15 W	1,9E-5 mbar	2E-4 mbar
2022-04-20, 15:29:40	1500 Hz	15 W	1,8E-5 mbar	2E-4 mbar
2022-04-20, 15:29:42	1500 Hz	16 W	1,6E-5 mbar	2E-4 mbar
2022-04-20, 15:29:44	1500 Hz	16 W	1,5E-5 mbar	2E-4 mbar
2022-04-20, 15:29:46	1500 Hz	16 W	1,4E-5 mbar	2E-4 mbar
2022-04-20, 15:29:48	1500 Hz	15 W	1,4E-5 mbar	1,5E-4 mbar
2022-04-20, 15:29:50	1500 Hz	15 W	1,3E-5 mbar	1,5E-4 mbar
2022-04-20, 15:29:52	1500 Hz	15 W	1,3E-5 mbar	1,5E-4 mbar
2022-04-20, 15:29:54	1500 Hz	15 W	1,2E-5 mbar	1,5E-4 mbar
2022-04-20, 15:29:56	1500 Hz	16 W	1,2E-5 mbar	1,5E-4 mbar
2022-04-20, 15:29:58	1500 Hz	16 W	1,1E-5 mbar	1,5E-4 mbar
2022-04-20, 15:30:00	1500 Hz	16 W	1,1E-5 mbar	1,5E-4 mbar
2022-04-20, 15:30:02	1500 Hz	15 W	1,1E-5 mbar	1,5E-4 mbar
2022-04-20, 15:30:04	1500 Hz	15 W	1E-5 mbar	1,5E-4 mbar
2022-04-20, 15:30:06	1500 Hz	16 W	1E-5 mbar	1,5E-4 mbar
2022-04-20, 15:30:08	1500 Hz	16 W	1E-5 mbar	1,5E-4 mbar
2022-04-20, 15:30:10	1500 Hz	16 W	1E-5 mbar	1,5E-4 mbar
2022-04-20, 15:30:12	1500 Hz	15 W	9,8E-6 mbar	1,5E-4 mbar
2022-04-20, 15:30:14	1500 Hz	15 W	9,6E-6 mbar	1,5E-4 mbar
2022-04-20, 15:30:16	1500 Hz	15 W	9,5E-6 mbar	1,5E-4 mbar
2022-04-20, 15:30:18	1500 Hz	15 W	9,4E-6 mbar	1,5E-4 mbar
2022-04-20, 15:30:20	1500 Hz	16 W	9,2E-6 mbar	1,5E-4 mbar
2022-04-20, 15:30:22	1500 Hz	16 W	9,1E-6 mbar	1,5E-4 mbar
2022-04-20, 15:30:24	1500 Hz	16 W	9E-6 mbar	1,5E-4 mbar
2022-04-20, 15:30:26	1500 Hz	15 W	8,9E-6 mbar	1,5E-4 mbar
2022-04-20, 15:30:28	1500 Hz	15 W	8,8E-6 mbar	1,5E-4 mbar
2022-04-20, 15:30:30	1500 Hz	16 W	8,7E-6 mbar	1,5E-4 mbar
2022-04-20, 15:30:32	1500 Hz	15 W	8,6E-6 mbar	1,5E-4 mbar
2022-04-20, 15:30:34	1500 Hz	16 W	8,5E-6 mbar	1,5E-4 mbar
2022-04-20, 15:30:36	1500 Hz	15 W	8,5E-6 mbar	1,5E-4 mbar
2022-04-20, 15:30:38	1500 Hz	15 W	8,4E-6 mbar	1,5E-4 mbar
2022-04-20, 15:30:40	1500 Hz	15 W	8,3E-6 mbar	1,5E-4 mbar
2022-04-20, 15:30:42	1500 Hz	15 W	8,3E-6 mbar	1,5E-4 mbar
2022-04-20, 15:30:44	1500 Hz	16 W	8,2E-6 mbar	1,5E-4 mbar
2022-04-20, 15:30:46	1500 Hz	16 W	8,1E-6 mbar	1,5E-4 mbar
2022-04-20, 15:30:48	1500 Hz	16 W	8,1E-6 mbar	1,5E-4 mbar
