time	Freq	W	B2	B1
2022-04-20, 15:27:32	1500 Hz	15 W	5,1E-5 mbar	3E-4 mbar
2022-04-20, 15:27:34	1500 Hz	15 W	5,7E-5 mbar	3,5E-4 mbar
2022-04-20, 15:27:36	1500 Hz	16 W	6,4E-5 mbar	4E-4 mbar
2022-04-20, 15:27:38	1500 Hz	16 W	7E-5 mbar	4,5E-4 mbar
2022-04-20, 15:27:40	1500 Hz	16 W	7,8E-5 mbar	5E-4 mbar
2022-04-20, 15:27:42	1500 Hz	16 W	8,3E-5 mbar	5,5E-4 mbar
2022-04-20, 15:27:44	1500 Hz	15 W	9,1E-5 mbar	6E-4 mbar
2022-04-20, 15:27:46	1500 Hz	15 W	9,7E-5 mbar	6,5E-4 mbar
2022-04-20, 15:27:48	1500 Hz	15 W	1E-4 mbar	7E-4 mbar
2022-04-20, 15:27:50	1500 Hz	16 W	1,1E-4 mbar	7E-4 mbar
2022-04-20, 15:27:52	1500 Hz	16 W	1,2E-4 mbar	8E-4 mbar
2022-04-20, 15:27:54	1500 Hz	16 W	1,3E-4 mbar	8,5E-4 mbar
2022-04-20, 15:27:56	1500 Hz	15 W	1,3E-4 mbar	9E-4 mbar
2022-04-20, 15:27:58	1500 Hz	15 W	1,4E-4 mbar	9,5E-4 mbar
2022-04-20, 15:28:00	1500 Hz	16 W	1,5E-4 mbar	1E-3 mbar
2022-04-20, 15:28:02	1500 Hz	16 W	1,5E-4 mbar	1,1E-3 mbar
2022-04-20, 15:28:04	1500 Hz	16 W	1,6E-4 mbar	1,1E-3 mbar
2022-04-20, 15:28:06	1500 Hz	15 W	1,7E-4 mbar	1,1E-3 mbar
2022-04-20, 15:28:08	1500 Hz	16 W	1,7E-4 mbar	1,2E-3 mbar
2022-04-20, 15:28:10	1500 Hz	15 W	1,1E-3 mbar	1,2E-3 mbar
2022-04-20, 15:28:12	1500 Hz	15 W	1,3E-3 mbar	1,3E-3 mbar
2022-04-20, 15:28:14	1500 Hz	16 W	1,3E-3 mbar	1,4E-3 mbar
2022-04-20, 15:28:16	1500 Hz	16 W	1,3E-3 mbar	1,4E-3 mbar
2022-04-20, 15:28:18	1500 Hz	15 W	1,4E-3 mbar	1,5E-3 mbar
2022-04-20, 15:28:20	1500 Hz	15 W	1,5E-3 mbar	1,6E-3 mbar
2022-04-20, 15:28:22	1500 Hz	15 W	1,5E-3 mbar	1,6E-3 mbar
2022-04-20, 15:28:24	1500 Hz	15 W	1,6E-3 mbar	1,7E-3 mbar
2022-04-20, 15:28:26	1500 Hz	15 W	1,7E-3 mbar	1,7E-3 mbar
2022-04-20, 15:28:28	1500 Hz	16 W	1,7E-3 mbar	1,7E-3 mbar
2022-04-20, 15:28:30	1500 Hz	16 W	1,8E-3 mbar	1,8E-3 mbar
2022-04-20, 15:28:32	1500 Hz	15 W	1,8E-3 mbar	1,9E-3 mbar
2022-04-20, 15:28:34	1500 Hz	15 W	1,9E-3 mbar	2E-3 mbar
2022-04-20, 15:28:36	1500 Hz	15 W	2E-3 mbar	2E-3 mbar
2022-04-20, 15:28:38	1500 Hz	15 W	2E-3 mbar	2,1E-3 mbar
2022-04-20, 15:28:40	1500 Hz	15 W	2,1E-3 mbar	2,1E-3 mbar
2022-04-20, 15:28:42	1500 Hz	16 W	2,1E-3 mbar	2,2E-3 mbar
2022-04-20, 15:28:44	1500 Hz	16 W	2,2E-3 mbar	2,2E-3 mbar
2022-04-20, 15:28:46	1500 Hz	15 W	2,2E-3 mbar	2,2E-3 mbar
2022-04-20, 15:28:48	1500 Hz	15 W	2,4E-3 mbar	2,3E-3 mbar
2022-04-20, 15:28:50	1500 Hz	15 W	2,4E-3 mbar	2,3E-3 mbar
2022-04-20, 15:28:52	1500 Hz	16 W	2,4E-3 mbar	2,4E-3 mbar
2022-04-20, 15:28:54	1500 Hz	16 W	2,5E-3 mbar	2,4E-3 mbar
2022-04-20, 15:28:56	1500 Hz	16 W	2,4E-3 mbar	2,4E-3 mbar
2022-04-20, 15:28:58	1500 Hz	15 W	2,6E-3 mbar	2,5E-3 mbar
2022-04-20, 15:29:00	1500 Hz	15 W	2,6E-3 mbar	2,5E-3 mbar
2022-04-20, 15:29:02	1500 Hz	15 W	2,6E-3 mbar	2,5E-3 mbar
2022-04-20, 15:29:04	1500 Hz	15 W	2,7E-3 mbar	2,6E-3 mbar
2022-04-20, 15:29:06	1500 Hz	16 W	2,6E-3 mbar	2,6E-3 mbar
2022-04-20, 15:29:08	1500 Hz	16 W	2,7E-3 mbar	2,6E-3 mbar
2022-04-20, 15:29:10	1500 Hz	16 W	2,8E-3 mbar	2,7E-3 mbar
2022-04-20, 15:29:12	1500 Hz	15 W	2,8E-3 mbar	2,7E-3 mbar
2022-04-20, 15:29:14	1500 Hz	15 W	2,9E-3 mbar	2,7E-3 mbar
2022-04-20, 15:29:16	1500 Hz	16 W	2,9E-3 mbar	2,8E-3 mbar
2022-04-20, 15:29:18	1500 Hz	16 W	2,9E-3 mbar	2,8E-3 mbar
2022-04-20, 15:29:20	1500 Hz	16 W	3E-3 mbar	2,8E-3 mbar
