time	Freq	W	B2	B1
2022-04-20, 14:49:22	0 Hz	0 W	1E3 mbar	1E3 mbar
2022-04-20, 14:49:24	0 Hz	0 W	1E3 mbar	1E3 mbar
2022-04-20, 14:49:26	0 Hz	0 W	1E3 mbar	1E3 mbar
2022-04-20, 14:49:28	0 Hz	0 W	1E3 mbar	1E3 mbar
2022-04-20, 14:49:30	0 Hz	0 W	1E3 mbar	1E3 mbar
2022-04-20, 14:49:32	0 Hz	0 W	1E3 mbar	1E3 mbar
2022-04-20, 14:49:34	0 Hz	0 W	1E3 mbar	6,5E2 mbar
2022-04-20, 14:49:36	0 Hz	0 W	1E3 mbar	4,8E2 mbar
2022-04-20, 14:49:38	0 Hz	0 W	1E3 mbar	3,6E2 mbar
2022-04-20, 14:49:40	0 Hz	0 W	1E3 mbar	2,9E2 mbar
2022-04-20, 14:49:42	0 Hz	0 W	1E3 mbar	2,3E2 mbar
2022-04-20, 14:49:44	0 Hz	0 W	1E3 mbar	1,8E2 mbar
2022-04-20, 14:49:46	0 Hz	0 W	5,7E2 mbar	1,6E2 mbar
2022-04-20, 14:49:48	0 Hz	0 W	3,5E2 mbar	1,2E2 mbar
2022-04-20, 14:49:50	0 Hz	0 W	2,7E2 mbar	9,9E1 mbar
2022-04-20, 14:49:52	0 Hz	0 W	1,8E2 mbar	8,4E1 mbar
2022-04-20, 14:49:54	0 Hz	0 W	1,4E2 mbar	7E1 mbar
2022-04-20, 14:49:56	0 Hz	0 W	9,9E1 mbar	6,3E1 mbar
2022-04-20, 14:49:58	0 Hz	0 W	8,8E1 mbar	5,6E1 mbar
2022-04-20, 14:50:00	0 Hz	0 W	6,9E1 mbar	4,8E1 mbar
2022-04-20, 14:50:02	0 Hz	0 W	6E1 mbar	4E1 mbar
2022-04-20, 14:50:04	0 Hz	0 W	5,4E1 mbar	3,6E1 mbar
2022-04-20, 14:50:06	0 Hz	0 W	4,4E1 mbar	3,4E1 mbar
2022-04-20, 14:50:08	0 Hz	0 W	3,8E1 mbar	3E1 mbar
2022-04-20, 14:50:10	0 Hz	0 W	3,4E1 mbar	2,7E1 mbar
2022-04-20, 14:50:12	0 Hz	0 W	3,2E1 mbar	2,3E1 mbar
2022-04-20, 14:50:14	0 Hz	0 W	2,8E1 mbar	1,9E1 mbar
2022-04-20, 14:50:16	0 Hz	0 W	2,3E1 mbar	1,8E1 mbar
2022-04-20, 14:50:18	0 Hz	0 W	1,9E1 mbar	1,7E1 mbar
2022-04-20, 14:50:20	0 Hz	0 W	1,8E1 mbar	1,5E1 mbar
2022-04-20, 14:50:22	0 Hz	0 W	1,7E1 mbar	1,4E1 mbar
2022-04-20, 14:50:24	0 Hz	0 W	1,5E1 mbar	1,2E1 mbar
2022-04-20, 14:50:26	0 Hz	0 W	1,4E1 mbar	1,1E1 mbar
2022-04-20, 14:50:28	0 Hz	0 W	1,3E1 mbar	1E1 mbar
2022-04-20, 14:50:30	0 Hz	0 W	1,1E1 mbar	9,5E0 mbar
2022-04-20, 14:50:32	0 Hz	0 W	1E1 mbar	9E0 mbar
2022-04-20, 14:50:34	0 Hz	0 W	9,6E0 mbar	8,5E0 mbar
2022-04-20, 14:50:36	0 Hz	0 W	9,2E0 mbar	7,9E0 mbar
