time	Freq	W	B2	B1
2022-04-20, 15:10:12	0 Hz	0 W	1E3 mbar	1E3 mbar
2022-04-20, 15:10:14	0 Hz	0 W	1E3 mbar	1E3 mbar
2022-04-20, 15:10:16	0 Hz	0 W	1E3 mbar	1E3 mbar
2022-04-20, 15:10:18	0 Hz	0 W	1E3 mbar	7E2 mbar
2022-04-20, 15:10:20	0 Hz	0 W	1E3 mbar	5,6E2 mbar
2022-04-20, 15:10:22	0 Hz	0 W	1E3 mbar	4,3E2 mbar
2022-04-20, 15:10:24	0 Hz	0 W	1E3 mbar	3,2E2 mbar
2022-04-20, 15:10:26	0 Hz	0 W	1E3 mbar	2,8E2 mbar
2022-04-20, 15:10:28	0 Hz	0 W	1E3 mbar	1,9E2 mbar
2022-04-20, 15:10:30	0 Hz	0 W	6,6E2 mbar	1,7E2 mbar
2022-04-20, 15:10:32	0 Hz	0 W	4,7E2 mbar	1,4E2 mbar
2022-04-20, 15:10:34	0 Hz	0 W	3,4E2 mbar	1,2E2 mbar
2022-04-20, 15:10:36	0 Hz	0 W	2,5E2 mbar	9,4E1 mbar
2022-04-20, 15:10:38	0 Hz	0 W	1,6E2 mbar	8,1E1 mbar
2022-04-20, 15:10:40	0 Hz	0 W	1,4E2 mbar	6,7E1 mbar
2022-04-20, 15:10:42	0 Hz	0 W	9,9E1 mbar	6,2E1 mbar
2022-04-20, 15:10:44	0 Hz	0 W	8E1 mbar	5,3E1 mbar
2022-04-20, 15:10:46	0 Hz	0 W	6,6E1 mbar	4,6E1 mbar
2022-04-20, 15:10:48	0 Hz	0 W	6E1 mbar	3,9E1 mbar
2022-04-20, 15:10:50	0 Hz	0 W	5,1E1 mbar	3,6E1 mbar
2022-04-20, 15:10:52	0 Hz	0 W	4,1E1 mbar	3,3E1 mbar
2022-04-20, 15:10:54	0 Hz	0 W	3,8E1 mbar	3E1 mbar
2022-04-20, 15:10:56	0 Hz	0 W	3,4E1 mbar	2,7E1 mbar
2022-04-20, 15:10:58	0 Hz	0 W	3E1 mbar	2,2E1 mbar
2022-04-20, 15:11:00	0 Hz	0 W	2,6E1 mbar	1,9E1 mbar
2022-04-20, 15:11:02	0 Hz	0 W	2,3E1 mbar	1,8E1 mbar
2022-04-20, 15:11:04	0 Hz	0 W	1,9E1 mbar	1,7E1 mbar
2022-04-20, 15:11:06	0 Hz	0 W	1,8E1 mbar	1,5E1 mbar
2022-04-20, 15:11:08	0 Hz	0 W	1,6E1 mbar	1,4E1 mbar
2022-04-20, 15:11:10	0 Hz	0 W	1,5E1 mbar	1,3E1 mbar
2022-04-20, 15:11:12	0 Hz	0 W	1,4E1 mbar	1,1E1 mbar
2022-04-20, 15:11:14	0 Hz	0 W	1,2E1 mbar	1E1 mbar
2022-04-20, 15:11:16	0 Hz	0 W	1,1E1 mbar	9,4E0 mbar
2022-04-20, 15:11:18	0 Hz	0 W	1E1 mbar	9E0 mbar
2022-04-20, 15:11:20	0 Hz	0 W	9,6E0 mbar	8,5E0 mbar
2022-04-20, 15:11:22	0 Hz	0 W	9,2E0 mbar	7,9E0 mbar
2022-04-20, 15:11:24	0 Hz	0 W	8,6E0 mbar	7,5E0 mbar
2022-04-20, 15:11:26	0 Hz	0 W	8,1E0 mbar	7E0 mbar
2022-04-20, 15:11:28	0 Hz	0 W	7,7E0 mbar	6,8E0 mbar
2022-04-20, 15:11:30	0 Hz	0 W	7,4E0 mbar	6,6E0 mbar
2022-04-20, 15:11:32	0 Hz	0 W	6,9E0 mbar	6,4E0 mbar
2022-04-20, 15:11:34	0 Hz	0 W	6,7E0 mbar	6,2E0 mbar
2022-04-20, 15:11:36	0 Hz	0 W	6,6E0 mbar	6E0 mbar
2022-04-20, 15:11:38	0 Hz	0 W	6,4E0 mbar	5,9E0 mbar
2022-04-20, 15:11:40	0 Hz	0 W	6,2E0 mbar	5,7E0 mbar
2022-04-20, 15:11:42	0 Hz	0 W	6,1E0 mbar	5,6E0 mbar
2022-04-20, 15:11:44	0 Hz	0 W	6E0 mbar	5,4E0 mbar
2022-04-20, 15:11:46	0 Hz	0 W	5,8E0 mbar	5,3E0 mbar
2022-04-20, 15:11:48	0 Hz	0 W	5,7E0 mbar	5,2E0 mbar
2022-04-20, 15:11:50	0 Hz	0 W	5,6E0 mbar	5E0 mbar
2022-04-20, 15:11:52	0 Hz	0 W	5,5E0 mbar	4,9E0 mbar
2022-04-20, 15:11:54	0 Hz	0 W	5,4E0 mbar	4,8E0 mbar
