V_ks(V),V_a(mV)
0.250,0.00
0.500,0.00
0.756,0.00
0.992,0.00
1.251,0.11
1.507,1.64
1.580,3.37
1.640,5.93
1.718,11.50
1.780,18.55
1.825,25.11
1.892,36.50
1.944,46.10
1.998,55.64
2.109,73.18
2.200,83.60
2.267,89.00
2.350,93.25
2.420,95.40
2.487,96.34
2.563,96.58
2.604,96.57
2.660,96.26
2.707,95.94
2.774,95.37
2.860,94.68
3.211,93.29
3.394,93.11
3.613,93.13
3.811,93.30
4.013,93.52
4.232,93.76
4.411,93.84
4.598,93.82
4.813,93.68
5.023,93.49
5.260,93.70
5.560,93.47
5.756,93.32
5.984,93.23
6.245,93.70
6.535,93.59
6.725,93.81
7.004,94.29
7.250,94.94
7.536,95.95
7.764,97.34
8.036,99.23
8.265,101.37
8.503,104.08
9.035,111.23
10.000,120.84
