Oscilloscope data. 
Time step = 1,000 uS
Voltage step = 31,25 mV
Zero level = 127

N 	Smpl.	Trig

0	72	0
1	100	0
2	139	0
3	174	0
4	191	0
5	183	0
6	155	0
7	115	0
8	81	0
9	64	0
10	72	0
11	101	0
12	140	0
13	175	0
14	191	0
15	183	0
16	155	0
17	116	0
18	81	0
19	65	0
20	72	0
21	101	0
22	140	0
23	175	0
24	191	0
25	184	0
26	155	0
27	115	0
28	81	0
29	64	0
30	72	0
31	101	0
32	139	0
33	175	0
34	191	0
35	183	0
36	155	0
37	115	0
38	81	0
39	64	0
40	72	0
41	100	0
42	139	0
43	175	0
44	192	0
45	184	0
46	155	0
47	115	0
48	81	0
49	64	0
50	72	0
51	101	0
52	140	0
53	173	0
54	191	0
55	184	0
56	155	0
57	116	0
58	81	0
59	64	0
60	72	0
61	100	0
62	140	0
63	175	0
64	191	0
65	183	0
66	155	0
67	115	0
68	81	0
69	64	0
70	72	0
71	100	0
72	139	0
73	175	0
74	191	0
75	183	0
76	155	0
77	116	0
78	81	0
79	64	0
80	72	0
81	100	0
82	139	0
83	175	0
84	191	0
85	183	0
86	155	0
87	116	0
88	81	0
89	64	0
90	72	0
91	100	0
92	140	0
93	174	0
94	191	0
95	183	0
96	155	0
97	115	0
98	81	0
99	64	0
100	72	0
101	100	0
102	139	0
103	175	0
104	191	0
105	184	0
106	155	0
107	115	0
108	81	0
109	64	0
110	72	0
111	101	0
112	139	0
113	175	0
114	191	0
115	184	0
116	155	0
117	115	0
118	81	0
119	63	0
120	72	0
121	100	0
122	139	0
123	174	0
124	191	0
125	183	0
126	155	0
127	115	0
128	81	0
129	64	0
130	72	0
131	100	0
132	139	0
133	175	0
134	191	0
135	183	0
136	155	0
137	115	0
138	81	0
139	64	0
140	72	0
141	100	0
142	139	0
143	175	0
144	191	0
145	183	0
146	155	0
147	116	0
148	81	0
149	65	0
150	72	0
151	100	0
152	139	0
153	175	0
154	192	0
155	184	0
156	155	0
157	116	0
158	81	0
159	64	0
160	72	0
161	101	0
162	139	0
163	173	0
164	191	0
165	184	0
166	155	0
167	115	0
168	81	0
169	64	0
170	72	0
171	100	0
172	139	0
173	175	0
174	191	0
175	183	0
176	155	0
177	116	0
178	81	0
179	64	0
180	72	0
181	100	0
182	140	0
183	175	0
184	191	0
185	184	0
186	155	0
187	115	0
188	81	0
189	64	0
190	71	0
191	101	0
192	139	0
193	175	0
194	191	0
195	184	0
196	155	0
197	116	0
198	81	0
199	64	0
200	72	0
201	101	0
202	139	0
203	173	0
204	191	0
205	183	0
206	155	0
207	115	0
208	81	0
209	64	0
210	72	0
211	100	0
212	139	0
213	174	0
214	192	0
215	184	0
216	155	0
217	116	0
218	81	0
219	64	0
220	72	0
221	100	0
222	139	0
223	174	0
224	191	0
225	184	0
226	155	0
227	115	0
228	81	0
229	64	0
230	72	0
231	100	0
232	139	0
233	175	0
234	191	0
235	183	0
236	155	0
237	115	0
238	81	0
239	64	0
240	72	0
241	101	0
242	139	0
243	175	0
244	191	0
245	184	0
246	155	0
247	116	0
248	81	0
249	64	0
250	72	0
251	100	0
252	140	0
253	175	0
254	191	0
255	183	0
256	155	0
257	115	0
258	81	0
259	64	0
260	71	0
261	100	0
262	139	0
263	175	0
264	191	0
265	183	0
266	155	0
267	115	0
268	81	0
269	64	0
270	72	0
271	100	0
272	139	0
273	175	0
274	191	0
275	184	0
276	155	0
277	116	0
278	81	0
279	64	0
280	72	0
281	100	0
282	139	0
283	175	0
284	192	0
285	183	0
286	155	0
287	115	0
288	81	0
289	64	0
290	72	0
291	100	0
292	139	0
293	175	0
294	191	0
295	183	0
296	155	0
297	116	0
298	81	0
299	64	0
300	72	0
301	100	0
302	139	0
303	173	0
304	191	0
305	184	0
306	155	0
307	115	0
308	81	0
309	64	0
310	72	0
311	100	0
312	140	0
313	174	0
314	191	0
315	184	0
316	155	0
317	115	0
318	81	0
319	64	0
320	72	0
321	100	0
322	140	0
323	174	0
324	191	0
325	184	0
326	155	0
327	115	0
328	81	0
329	64	0
330	71	0
331	101	0
332	139	0
333	175	0
334	191	0
335	184	0
336	155	0
337	115	0
338	81	0
339	64	0
340	72	0
341	101	0
342	140	0
343	175	0
344	191	0
345	183	0
346	155	0
347	115	0
348	81	0
349	64	0
350	72	0
351	101	0
352	140	0
353	175	0
354	191	0
355	184	0
356	155	0
357	115	0
358	81	0
359	64	0
360	71	0
361	100	0
362	139	0
363	175	0
364	191	0
365	183	0
366	155	0
367	115	0
368	81	0
369	64	0
370	72	0
371	100	0
372	139	0
373	174	0
374	191	0
375	184	0
376	155	0
377	115	0
378	81	0
379	64	0
380	72	0
381	101	0
382	139	0
383	173	0
384	191	0
385	184	0
386	155	0
387	115	0
388	81	0
389	64	0
390	72	0
391	101	0
392	140	0
393	173	0
394	191	0
395	183	0
396	155	0
397	116	0
398	81	0
399	63	0
400	72	0
401	100	0
402	139	0
403	175	0
404	191	0
405	183	0
406	155	0
407	116	0
408	81	0
409	64	0
410	72	0
411	100	0
412	140	0
413	175	0
414	191	0
415	184	0
416	155	0
417	116	0
418	81	0
419	63	0
420	72	0
421	100	0
422	139	0
423	174	0
424	191	0
425	183	0
426	155	0
427	115	0
428	81	0
429	63	0
430	72	0
431	100	0
432	139	0
433	175	0
434	191	0
435	184	0
436	155	0
437	115	0
438	81	0
439	64	0
440	72	0
441	101	0
442	140	0
443	175	0
444	191	0
445	183	0
446	155	0
447	115	0
448	81	0
449	64	0
450	72	0
451	100	0
452	139	0
453	174	0
454	192	0
455	183	0
456	155	0
457	115	0
458	81	0
459	64	0
460	72	0
461	101	0
462	139	0
463	175	0
464	191	0
465	183	0
466	155	0
467	115	0
468	81	0
469	64	0
470	71	0
471	100	0
472	139	0
473	173	0
474	191	0
475	183	0
476	155	0
477	115	0
478	81	0
479	64	0
480	72	0
481	100	0
482	139	0
483	175	0
484	191	0
485	184	0
486	155	0
487	115	0
488	81	0
489	64	0
490	72	0
491	100	0
492	139	0
493	175	0
494	191	0
495	184	0
496	155	0
497	116	0
498	81	0
499	64	0
500	72	0
501	100	0
502	139	0
503	175	0
504	191	0
505	183	0
506	155	0
507	115	0
508	81	0
509	64	0
510	72	0
511	100	0
512	139	0
513	175	0
514	191	0
515	183	0
516	155	0
517	116	0
518	81	0
519	64	0
520	72	0
521	100	0
522	139	0
523	175	0
524	191	0
525	184	0
526	155	0
527	115	0
528	81	0
529	64	0
530	72	0
531	100	0
532	140	0
533	174	0
534	191	0
535	183	0
536	155	0
537	116	0
538	81	0
539	65	0
540	72	0
541	101	0
542	140	0
543	174	0
544	191	0
545	183	0
546	155	0
547	115	0
548	81	0
549	65	0
550	72	0
551	101	0
552	140	0
553	175	0
554	191	0
555	183	0
556	155	0
557	115	0
558	81	0
559	64	0
560	72	0
561	100	0
562	140	0
563	175	0
564	191	0
565	183	0
566	155	0
567	115	0
568	81	0
569	64	0
570	72	0
571	101	0
572	139	0
573	174	0
574	191	0
575	184	0
576	155	0
577	115	0
578	81	0
579	65	0
580	72	0
581	101	0
582	140	0
583	175	0
584	191	0
585	183	0
586	155	0
587	115	0
588	81	0
589	64	0
590	72	0
591	100	0
592	139	0
593	175	0
594	192	0
595	183	0
596	155	0
597	116	0
598	81	0
599	64	0
600	72	0
601	100	0
602	139	0
603	174	0
604	191	0
605	184	0
606	155	0
607	115	0
608	81	0
609	64	0
610	72	0
611	101	0
612	140	0
613	175	0
614	191	0
615	184	0
616	155	0
617	115	0
618	81	0
619	64	0
620	72	0
621	100	0
622	139	0
623	175	0
624	192	0
625	183	0
626	155	0
627	115	0
628	81	0
629	64	0
630	72	0
631	100	0
632	139	0
633	175	0
634	191	0
635	183	0
636	155	0
637	116	0
638	81	0
639	64	0
640	72	0
641	100	0
642	139	0
643	175	0
644	191	0
645	183	0
646	155	0
647	115	0
648	81	0
649	64	0
650	72	0
651	100	0
652	139	0
653	175	0
654	191	0
655	183	0
656	155	0
657	115	0
658	81	0
659	64	0
660	72	0
661	100	0
662	140	0
663	173	0
664	191	0
665	184	0
666	155	0
667	115	0
668	81	0
669	64	0
670	71	0
671	101	0
672	139	0
673	175	0
674	191	0
675	184	0
676	155	0
677	115	0
678	81	0
679	64	0
680	72	0
681	100	0
682	140	0
683	173	0
684	191	0
685	184	0
686	155	0
687	116	0
688	81	0
689	64	0
690	72	0
691	100	0
692	139	0
693	175	0
694	191	0
695	183	0
696	155	0
697	115	0
698	81	0
699	64	0
700	72	0
701	101	0
702	140	0
703	174	0
704	191	0
705	183	0
706	155	0
707	115	0
708	81	0
709	64	0
710	72	0
711	101	0
712	139	0
713	175	0
714	191	0
715	184	0
716	155	0
717	115	0
718	81	0
719	64	0
720	72	0
721	100	0
722	140	0
723	174	0
724	192	0
725	184	0
726	155	0
727	116	0
728	81	0
729	64	0
730	72	0
731	100	0
732	139	0
733	175	0
734	191	0
735	184	0
736	155	0
737	116	0
738	81	0
739	64	0
740	72	0
741	100	0
742	140	0
743	174	0
744	191	0
745	183	0
746	155	0
747	115	0
748	81	0
749	64	0
750	72	0
751	101	0
752	139	0
753	175	0
754	192	0
755	183	0
756	155	0
757	116	0
758	81	0
759	64	0
760	72	0
761	100	0
762	140	0
763	175	0
764	191	0
765	183	0
766	155	0
767	116	0
768	81	0
769	65	0
770	72	0
771	101	0
772	139	0
773	175	0
774	192	0
775	184	0
776	155	0
777	115	0
778	81	0
779	64	0
780	72	0
781	100	0
782	139	0
783	175	0
784	191	0
785	183	0
786	155	0
787	116	0
788	81	0
789	65	0
790	72	0
791	100	0
792	139	0
793	175	0
794	192	0
795	183	0
796	155	0
797	115	0
798	81	0
799	64	0
800	72	0
801	101	0
802	139	0
803	175	0
804	191	0
805	184	0
806	155	0
807	115	0
808	81	0
809	64	0
810	72	0
811	100	0
812	139	0
813	175	0
814	191	0
815	183	0
816	155	0
817	116	0
818	81	0
819	64	0
820	72	0
821	100	0
822	139	0
823	175	0
824	191	0
825	183	0
826	155	0
827	115	0
828	81	0
829	64	0
830	71	0
831	101	0
832	139	0
833	175	0
834	191	0
835	184	0
836	155	0
837	115	0
838	81	0
839	64	0
840	72	0
841	100	0
842	139	0
843	175	0
844	191	0
845	184	0
846	155	0
847	115	0
848	81	0
849	64	0
850	71	0
851	100	0
852	139	0
853	174	0
854	191	0
855	184	0
856	155	0
857	115	0
858	81	0
859	64	0
860	72	0
861	101	0
862	139	0
863	175	0
864	191	0
865	184	0
866	155	0
867	115	0
868	81	0
869	64	0
870	72	0
871	100	0
872	139	0
873	175	0
874	191	0
875	183	0
876	155	0
877	116	0
878	81	0
879	65	0
880	72	0
881	100	0
882	140	0
883	175	0
884	191	0
885	183	0
886	155	0
887	116	0
888	81	0
889	64	0
890	72	0
891	101	0
892	139	0
893	175	0
894	191	0
895	184	0
896	155	0
897	116	0
898	81	0
899	64	0
900	72	0
901	101	0
902	139	0
903	175	0
904	191	0
905	184	0
906	155	0
907	116	0
908	81	0
909	64	0
910	72	0
911	100	0
912	139	0
913	173	0
914	191	0
915	183	0
916	155	0
917	116	0
918	81	0
919	64	0
920	72	0
921	101	0
922	139	0
923	175	0
924	191	0
925	183	0
926	155	0
927	116	0
928	81	0
929	64	0
930	72	0
931	100	0
932	139	0
933	175	0
934	191	0
935	183	0
936	155	0
937	115	0
938	81	0
939	64	0
940	72	0
941	100	0
942	139	0
943	175	0
944	191	0
945	183	0
946	155	0
947	115	0
948	81	0
949	64	0
950	72	0
951	100	0
952	139	0
953	175	0
954	191	0
955	183	0
956	155	0
957	116	0
958	81	0
959	64	0
960	72	0
961	101	0
962	140	0
963	175	0
964	191	0
965	183	0
966	155	0
967	115	0
968	81	0
969	64	0
970	72	0
971	101	0
972	139	0
973	175	0
974	191	0
975	184	0
976	155	0
977	115	0
978	81	0
979	64	0
980	71	0
981	101	0
982	139	0
983	175	0
984	191	0
985	183	0
986	155	0
987	116	0
988	81	0
989	64	0
990	71	0
991	100	0
992	139	0
993	175	0
994	191	0
995	183	0
996	155	0
997	115	0
998	81	0
999	64	0
