Oscilloscope data. 
Time step = 10,00 nS
Voltage step = 31,25 mV
Zero level = 128

N 	Smpl.	Trig

0	72	0
1	72	0
2	73	0
3	73	0
4	73	0
5	73	0
6	73	0
7	73	0
8	73	0
9	73	0
10	75	0
11	74	0
12	75	0
13	75	0
14	75	0
15	75	0
16	75	0
17	76	0
18	75	0
19	76	0
20	76	0
21	76	0
22	76	0
23	77	0
24	77	0
25	77	0
26	77	0
27	77	0
28	79	0
29	79	0
30	79	0
31	79	0
32	79	0
33	79	0
34	80	0
35	80	0
36	81	0
37	80	0
38	80	0
39	81	0
40	81	0
41	82	0
42	83	0
43	83	0
44	83	0
45	83	0
46	83	0
47	83	0
48	83	0
49	83	0
50	84	0
51	84	0
52	85	0
53	85	0
54	85	0
55	85	0
56	85	0
57	86	0
58	85	0
59	87	0
60	87	0
61	87	0
62	87	0
63	88	0
64	88	0
65	89	0
66	88	0
67	89	0
68	89	0
69	89	0
70	89	0
71	89	0
72	91	0
73	91	0
74	91	0
75	91	0
76	91	0
77	93	0
78	93	0
79	93	0
80	93	0
81	93	0
82	95	0
83	95	0
84	95	0
85	95	0
86	95	0
87	95	0
88	96	0
89	96	0
90	97	0
91	96	0
92	97	0
93	99	0
94	99	0
95	99	0
96	99	0
97	99	0
98	100	0
99	99	0
100	100	0
101	101	0
102	101	0
103	101	0
104	101	0
105	101	0
106	103	0
107	103	0
108	103	0
109	103	0
110	104	0
111	105	0
112	104	0
113	105	0
114	105	0
115	107	0
116	107	0
117	107	0
118	107	0
119	107	0
120	108	0
121	108	0
122	109	0
123	109	0
124	109	0
125	109	0
126	110	0
127	111	0
128	111	0
129	111	0
130	111	0
131	112	0
132	112	0
133	112	0
134	113	0
135	113	0
136	114	0
137	115	0
138	115	0
139	115	0
140	115	0
141	116	0
142	116	0
143	116	0
144	117	0
145	117	0
146	117	0
147	118	0
148	119	0
149	119	0
150	119	0
151	119	0
152	121	0
153	121	0
154	121	0
155	121	0
156	121	0
157	123	0
158	123	0
159	123	0
160	123	0
161	123	0
162	124	0
163	124	0
164	125	0
165	125	0
166	125	0
167	127	0
168	127	0
169	127	0
170	127	0
171	127	0
172	128	0
173	129	0
174	129	0
175	129	0
176	129	0
177	131	0
178	131	0
179	131	0
180	131	0
181	132	0
182	132	0
183	132	0
184	133	0
185	133	0
186	133	0
187	133	0
188	135	0
189	135	0
190	135	0
191	136	0
192	136	0
193	137	0
194	137	0
195	137	0
196	139	0
197	139	0
198	139	0
199	139	0
200	139	0
201	140	0
202	140	0
203	141	0
204	141	0
205	141	0
206	143	0
207	143	0
208	143	0
209	143	0
210	143	0
211	143	0
212	144	0
213	144	0
214	145	0
215	145	0
216	145	0
217	147	0
218	147	0
219	147	0
220	147	0
221	147	0
222	147	0
223	148	0
224	149	0
225	149	0
226	149	0
227	149	0
228	151	0
229	151	0
230	151	0
231	151	0
232	152	0
233	152	0
234	153	0
235	153	0
236	153	0
237	153	0
238	153	0
239	155	0
240	155	0
241	155	0
242	155	0
243	156	0
244	156	0
245	156	0
246	157	0
247	157	0
248	157	0
249	157	0
250	158	0
251	159	0
252	159	0
253	159	0
254	160	0
255	160	0
256	161	0
257	161	0
258	161	0
259	161	0
260	161	0
261	162	0
262	163	0
263	163	0
264	163	0
265	163	0
266	164	0
267	164	0
268	164	0
269	165	0
270	165	0
271	165	0
272	165	0
273	167	0
274	167	0
275	167	0
276	167	0
277	167	0
278	168	0
279	168	0
280	169	0
281	169	0
282	169	0
283	169	0
284	169	0
285	169	0
286	171	0
287	171	0
288	171	0
289	171	0
290	171	0
291	171	0
292	172	0
293	172	0
294	173	0
295	173	0
296	173	0
297	173	0
298	173	0
299	174	0
300	175	0
301	175	0
302	175	0
303	175	0
304	175	0
305	176	0
306	176	0
307	176	0
308	177	0
309	177	0
310	177	0
311	177	0
312	177	0
313	177	0
314	179	0
315	179	0
316	179	0
317	179	0
318	179	0
319	180	0
320	180	0
321	180	0
322	180	0
323	181	0
324	181	0
325	181	0
326	181	0
327	181	0
328	181	0
329	181	0
330	181	0
331	183	0
332	182	0
333	183	0
334	183	0
335	183	0
336	183	0
337	183	0
338	183	0
339	184	0
340	184	0
341	185	0
342	185	0
343	184	0
344	185	0
345	185	0
346	185	0
347	185	0
348	185	0
349	185	0
350	187	0
351	187	0
352	187	0
353	187	0
354	187	0
355	187	0
356	187	0
357	187	0
358	187	0
359	187	0
360	188	0
361	188	0
362	188	0
363	188	0
364	189	0
365	189	0
366	188	0
367	189	0
368	189	0
369	189	0
370	189	0
371	189	0
372	189	0
373	189	0
374	189	0
375	189	0
376	191	0
377	191	0
378	191	0
379	191	0
380	191	0
381	191	0
382	191	0
383	191	0
384	191	0
385	191	0
386	191	0
387	191	0
388	191	0
389	191	0
390	191	0
391	191	0
392	191	0
393	191	0
394	191	0
395	192	0
396	192	0
397	192	0
398	192	0
399	192	0
400	193	0
401	193	0
402	192	0
403	192	0
404	192	0
405	192	0
406	192	0
407	193	0
408	192	0
409	192	0
410	192	0
411	192	0
412	193	0
413	192	0
414	193	0
415	193	0
416	192	0
417	193	0
418	193	0
419	193	0
420	193	0
421	193	0
422	193	0
423	193	0
424	192	0
425	193	0
426	193	0
427	192	0
428	193	0
429	193	0
430	193	0
431	193	0
432	193	0
433	193	0
434	193	0
435	193	0
436	193	0
437	192	0
438	193	0
439	193	0
440	192	0
441	192	0
442	192	0
443	192	0
444	192	0
445	192	0
446	192	0
447	192	0
448	192	0
449	191	0
450	192	0
451	191	0
452	192	0
453	192	0
454	192	0
455	192	0
456	192	0
457	191	0
458	191	0
459	191	0
460	191	0
461	191	0
462	191	0
463	191	0
464	191	0
465	190	0
466	191	0
467	191	0
468	190	0
469	189	0
470	191	0
471	191	0
472	189	0
473	189	0
474	189	0
475	189	0
476	189	0
477	189	0
478	189	0
479	189	0
480	188	0
481	189	0
482	188	0
483	188	0
484	188	0
485	188	0
486	188	0
487	188	0
488	187	0
489	187	0
490	187	0
491	187	0
492	187	0
493	187	0
494	187	0
495	187	0
496	185	0
497	185	0
498	185	0
499	185	0
500	185	0
501	185	0
502	185	0
503	185	0
504	185	0
505	184	0
506	184	0
507	184	0
508	184	0
509	183	0
510	183	0
511	183	0
512	183	0
513	183	0
514	183	0
515	183	0
516	181	0
517	181	0
518	181	0
519	181	0
520	181	0
521	181	0
522	181	0
523	180	0
524	180	0
525	180	0
526	180	0
527	180	0
528	179	0
529	179	0
530	179	0
531	179	0
532	179	0
533	179	0
534	177	0
535	177	0
536	177	0
537	177	0
538	176	0
539	176	0
540	176	0
541	175	0
542	175	0
543	175	0
544	175	0
545	175	0
546	175	0
547	173	0
548	174	0
549	173	0
550	173	0
551	173	0
552	173	0
553	173	0
554	172	0
555	171	0
556	172	0
557	171	0
558	171	0
559	171	0
560	171	0
561	171	0
562	170	0
563	170	0
564	169	0
565	169	0
566	168	0
567	168	0
568	168	0
569	168	0
570	167	0
571	167	0
572	167	0
573	167	0
574	166	0
575	165	0
576	165	0
577	165	0
578	164	0
579	164	0
580	164	0
581	163	0
582	163	0
583	163	0
584	163	0
585	161	0
586	161	0
587	161	0
588	161	0
589	161	0
590	161	0
591	160	0
592	160	0
593	159	0
594	159	0
595	159	0
596	159	0
597	159	0
598	159	0
599	157	0
600	157	0
601	157	0
602	156	0
603	155	0
604	155	0
605	155	0
606	155	0
607	155	0
608	155	0
609	153	0
610	153	0
611	153	0
612	152	0
613	152	0
614	151	0
615	151	0
616	151	0
617	151	0
618	150	0
619	151	0
620	149	0
621	149	0
622	148	0
623	148	0
624	148	0
625	147	0
626	147	0
627	147	0
628	147	0
629	145	0
630	147	0
631	145	0
632	145	0
633	144	0
634	144	0
635	144	0
636	143	0
637	143	0
638	143	0
639	143	0
640	141	0
641	141	0
642	141	0
643	140	0
644	140	0
645	139	0
646	139	0
647	139	0
648	139	0
649	139	0
650	138	0
651	137	0
652	137	0
653	137	0
654	136	0
655	135	0
656	135	0
657	135	0
658	135	0
659	135	0
660	135	0
661	133	0
662	133	0
663	132	0
664	132	0
665	131	0
666	131	0
667	131	0
668	131	0
669	129	0
670	129	0
671	129	0
672	129	0
673	128	0
674	128	0
675	128	0
676	127	0
677	127	0
678	127	0
679	126	0
680	125	0
681	126	0
682	125	0
683	124	0
684	124	0
685	124	0
686	123	0
687	123	0
688	123	0
689	122	0
690	121	0
691	121	0
692	121	0
693	120	0
694	120	0
695	120	0
696	119	0
697	119	0
698	119	0
699	117	0
700	117	0
701	117	0
702	117	0
703	116	0
704	116	0
705	116	0
706	115	0
707	115	0
708	115	0
709	114	0
710	113	0
711	113	0
712	113	0
713	113	0
714	112	0
715	112	0
716	111	0
717	111	0
718	111	0
719	111	0
720	109	0
721	110	0
722	109	0
723	109	0
724	108	0
725	108	0
726	108	0
727	107	0
728	107	0
729	107	0
730	107	0
731	105	0
732	105	0
733	105	0
734	105	0
735	104	0
736	104	0
737	103	0
738	103	0
739	103	0
740	103	0
741	101	0
742	101	0
743	101	0
744	101	0
745	100	0
746	100	0
747	100	0
748	99	0
749	99	0
750	99	0
751	99	0
752	97	0
753	99	0
754	97	0
755	97	0
756	97	0
757	96	0
758	96	0
759	96	0
760	95	0
761	95	0
762	95	0
763	95	0
764	93	0
765	94	0
766	93	0
767	93	0
768	93	0
769	92	0
770	92	0
771	91	0
772	91	0
773	91	0
774	91	0
775	89	0
776	91	0
777	89	0
778	89	0
779	89	0
780	88	0
781	89	0
782	88	0
783	88	0
784	87	0
785	87	0
786	87	0
787	87	0
788	86	0
789	87	0
790	85	0
791	85	0
792	85	0
793	84	0
794	85	0
795	84	0
796	84	0
797	83	0
798	83	0
799	83	0
800	83	0
801	83	0
802	83	0
803	82	0
804	81	0
805	81	0
806	81	0
807	80	0
808	81	0
809	80	0
810	80	0
811	79	0
812	79	0
813	79	0
814	79	0
815	77	0
816	79	0
817	79	0
818	78	0
819	77	0
820	77	0
821	77	0
822	77	0
823	77	0
824	77	0
825	76	0
826	76	0
827	75	0
828	76	0
829	75	0
830	75	0
831	75	0
832	75	0
833	75	0
834	75	0
835	74	0
836	73	0
837	73	0
838	73	0
839	73	0
840	73	0
841	73	0
842	73	0
843	73	0
844	73	0
845	73	0
846	72	0
847	72	0
848	72	0
849	71	0
850	71	0
851	72	0
852	71	0
853	69	0
854	71	0
855	69	0
856	71	0
857	71	0
858	69	0
859	69	0
860	69	0
861	69	0
862	69	0
863	69	0
864	69	0
865	69	0
866	69	0
867	69	0
868	68	0
869	68	0
870	68	0
871	68	0
872	67	0
873	67	0
874	68	0
875	68	0
876	67	0
877	67	0
878	67	0
879	67	0
880	67	0
881	67	0
882	67	0
883	67	0
884	66	0
885	67	0
886	66	0
887	65	0
888	65	0
889	65	0
890	67	0
891	65	0
892	67	0
893	65	0
894	65	0
895	65	0
896	65	0
897	65	0
898	65	0
899	65	0
900	65	0
901	65	0
902	65	0
903	65	0
904	65	0
905	65	0
906	65	0
907	64	0
908	65	0
909	64	0
910	65	0
911	65	0
912	65	0
913	65	0
914	65	0
915	65	0
916	65	0
917	64	0
918	65	0
919	65	0
920	65	0
921	65	0
922	64	0
923	65	0
924	65	0
925	65	0
926	65	0
927	65	0
928	65	0
929	65	0
930	64	0
931	65	0
932	65	0
933	65	0
934	65	0
935	65	0
936	65	0
937	65	0
938	65	0
939	65	0
940	65	0
941	65	0
942	65	0
943	65	0
944	65	0
945	65	0
946	65	0
947	65	0
948	65	0
949	65	0
950	65	0
951	65	0
952	65	0
953	65	0
954	65	0
955	67	0
956	65	0
957	65	0
958	66	0
959	65	0
960	67	0
961	67	0
962	67	0
963	67	0
964	67	0
965	67	0
966	67	0
967	67	0
968	67	0
969	67	0
970	67	0
971	67	0
972	68	0
973	67	0
974	68	0
975	68	0
976	68	0
977	68	0
978	69	0
979	69	0
980	68	0
981	69	0
982	69	0
983	69	0
984	69	0
985	69	0
986	69	0
987	69	0
988	70	0
989	69	0
990	69	0
991	70	0
992	69	0
993	71	0
994	71	0
995	71	0
996	71	0
997	71	0
998	72	0
999	72	0
