Oscilloscope data. 
Time step = 100,0 nS
Voltage step = 31,25 mV
Zero level = 128

N 	Smpl.	Trig

0	99	0
1	103	0
2	105	0
3	111	0
4	113	0
5	117	0
6	121	0
7	125	0
8	129	0
9	133	0
10	137	0
11	141	0
12	145	0
13	149	0
14	153	0
15	156	0
16	160	0
17	164	0
18	167	0
19	171	0
20	173	0
21	176	0
22	179	0
23	181	0
24	183	0
25	185	0
26	187	0
27	189	0
28	189	0
29	191	0
30	192	0
31	192	0
32	193	0
33	193	0
34	193	0
35	192	0
36	192	0
37	191	0
38	189	0
39	188	0
40	185	0
41	184	0
42	182	0
43	180	0
44	177	0
45	175	0
46	171	0
47	168	0
48	165	0
49	161	0
50	159	0
51	155	0
52	151	0
53	147	0
54	144	0
55	139	0
56	136	0
57	131	0
58	127	0
59	123	0
60	119	0
61	115	0
62	111	0
63	108	0
64	105	0
65	100	0
66	97	0
67	93	0
68	91	0
69	87	0
70	84	0
71	81	0
72	79	0
73	76	0
74	74	0
75	72	0
76	70	0
77	69	0
78	67	0
79	66	0
80	65	0
81	65	0
82	65	0
83	64	0
84	65	0
85	65	0
86	65	0
87	67	0
88	68	0
89	69	0
90	71	0
91	73	0
92	75	0
93	77	0
94	80	0
95	83	0
96	85	0
97	89	0
98	92	0
99	95	0
100	99	0
101	102	0
102	107	0
103	110	0
104	113	0
105	117	0
106	121	0
107	125	0
108	130	0
109	133	0
110	139	0
111	141	0
112	145	0
113	149	0
114	153	0
115	157	0
116	160	0
117	164	0
118	167	0
119	171	0
120	173	0
121	176	0
122	179	0
123	181	0
124	183	0
125	185	0
126	187	0
127	188	0
128	189	0
129	191	0
130	193	0
131	192	0
132	193	0
133	193	0
134	193	0
135	192	0
136	191	0
137	191	0
138	189	0
139	187	0
140	187	0
141	184	0
142	181	0
143	179	0
144	177	0
145	175	0
146	172	0
147	169	0
148	165	0
149	161	0
150	159	0
151	155	0
152	151	0
153	147	0
154	143	0
155	139	0
156	136	0
157	131	0
158	127	0
159	123	0
160	119	0
161	115	0
162	112	0
163	108	0
164	104	0
165	100	0
166	97	0
167	93	0
168	89	0
169	87	0
170	84	0
171	81	0
172	78	0
173	76	0
174	75	0
175	71	0
176	70	0
177	69	0
178	67	0
179	66	0
180	65	0
181	65	0
182	65	0
183	64	0
184	65	0
185	65	0
186	65	0
187	67	0
188	68	0
189	69	0
190	71	0
191	73	0
192	75	0
193	77	0
194	80	0
195	83	0
196	87	0
197	89	0
198	92	0
199	95	0
200	99	0
201	103	0
202	106	0
203	109	0
204	113	0
205	117	0
206	123	0
207	125	0
208	131	0
209	133	0
210	137	0
211	141	0
212	145	0
213	149	0
214	153	0
215	157	0
216	160	0
217	163	0
218	167	0
219	169	0
220	173	0
221	176	0
222	179	0
223	181	0
224	184	0
225	185	0
226	187	0
227	189	0
228	189	0
229	191	0
230	191	0
231	192	0
232	192	0
233	193	0
234	193	0
235	192	0
236	192	0
237	191	0
238	189	0
239	187	0
240	185	0
241	183	0
242	181	0
243	180	0
244	177	0
245	175	0
246	171	0
247	169	0
248	165	0
249	161	0
250	159	0
251	155	0
252	151	0
253	147	0
254	143	0
255	140	0
256	136	0
257	131	0
258	127	0
259	124	0
260	119	0
261	115	0
262	111	0
263	108	0
264	104	0
265	100	0
266	97	0
267	93	0
268	91	0
269	87	0
270	84	0
271	81	0
272	79	0
273	76	0
274	75	0
275	71	0
276	70	0
277	69	0
278	67	0
279	67	0
280	65	0
281	65	0
282	65	0
283	64	0
284	65	0
285	65	0
286	66	0
287	67	0
288	68	0
289	69	0
290	71	0
291	73	0
292	75	0
293	77	0
294	80	0
295	83	0
296	85	0
297	89	0
298	92	0
299	95	0
300	99	0
301	103	0
302	106	0
303	109	0
304	113	0
305	117	0
306	121	0
307	126	0
308	129	0
309	133	0
310	138	0
311	141	0
312	145	0
313	149	0
314	153	0
315	157	0
316	160	0
317	164	0
318	167	0
319	171	0
320	173	0
321	176	0
322	179	0
323	181	0
324	183	0
325	185	0
326	187	0
327	189	0
328	189	0
329	191	0
330	192	0
331	192	0
332	193	0
333	193	0
334	193	0
335	192	0
336	191	0
337	191	0
338	189	0
339	188	0
340	187	0
341	184	0
342	181	0
343	179	0
344	177	0
345	175	0
346	172	0
347	169	0
348	165	0
349	161	0
350	159	0
351	155	0
352	151	0
353	147	0
354	144	0
355	140	0
356	135	0
357	131	0
358	127	0
359	124	0
360	119	0
361	115	0
362	111	0
363	108	0
364	104	0
365	100	0
366	97	0
367	93	0
368	89	0
369	87	0
370	84	0
371	81	0
372	79	0
373	76	0
374	75	0
375	72	0
376	70	0
377	69	0
378	67	0
379	65	0
380	65	0
381	65	0
382	65	0
383	65	0
384	65	0
385	65	0
386	66	0
387	67	0
388	68	0
389	69	0
390	71	0
391	73	0
392	75	0
393	77	0
394	80	0
395	83	0
396	85	0
397	89	0
398	92	0
399	95	0
400	99	0
401	102	0
402	107	0
403	109	0
404	115	0
405	117	0
406	122	0
407	126	0
408	131	0
409	133	0
410	137	0
411	141	0
412	145	0
413	149	0
414	153	0
415	156	0
416	161	0
417	164	0
418	167	0
419	171	0
420	173	0
421	176	0
422	179	0
423	181	0
424	183	0
425	185	0
426	187	0
427	189	0
428	189	0
429	191	0
430	192	0
431	192	0
432	193	0
433	193	0
434	193	0
435	192	0
436	192	0
437	191	0
438	189	0
439	188	0
440	185	0
441	184	0
442	181	0
443	180	0
444	177	0
445	175	0
446	171	0
447	169	0
448	165	0
449	163	0
450	159	0
451	155	0
452	151	0
453	147	0
454	143	0
455	139	0
