Oscilloscope data. 
Time step = 1,000 uS
Voltage step = 31,25 mV
Zero level = 128

N 	Smpl.	Trig

0	169	0
1	135	0
2	99	0
3	76	0
4	71	0
5	89	0
6	123	0
7	157	0
8	181	0
9	185	0
10	169	0
11	135	0
12	99	0
13	75	0
14	71	0
15	90	0
16	123	0
17	157	0
18	181	0
19	186	0
20	169	0
21	134	0
22	99	0
23	75	0
24	71	0
25	89	0
26	123	0
27	157	0
28	182	0
29	187	0
30	168	0
31	135	0
32	99	0
33	75	0
34	71	0
35	89	0
36	123	0
37	158	0
38	182	0
39	186	0
40	169	0
41	135	0
42	99	0
43	76	0
44	71	0
45	89	0
46	123	0
47	159	0
48	181	0
49	187	0
50	169	0
51	135	0
52	99	0
53	75	0
54	71	0
55	89	0
56	123	0
57	157	0
58	181	0
59	187	0
60	168	0
61	135	0
62	100	0
63	75	0
64	71	0
65	89	0
66	123	0
67	158	0
68	181	0
69	187	0
70	168	0
71	135	0
72	100	0
73	76	0
74	72	0
75	89	0
76	123	0
77	158	0
78	181	0
79	186	0
80	168	0
81	135	0
82	99	0
83	75	0
84	71	0
85	89	0
86	122	0
87	157	0
88	182	0
89	187	0
90	168	0
91	135	0
92	99	0
93	76	0
94	71	0
95	89	0
96	123	0
97	157	0
98	182	0
99	187	0
100	168	0
101	135	0
102	100	0
103	75	0
104	71	0
105	89	0
106	123	0
107	157	0
108	181	0
109	186	0
110	169	0
111	135	0
112	99	0
113	75	0
114	72	0
115	89	0
116	123	0
117	158	0
118	181	0
119	186	0
120	168	0
121	135	0
122	99	0
123	75	0
124	71	0
125	89	0
126	123	0
127	158	0
128	181	0
129	187	0
130	169	0
131	136	0
132	99	0
133	75	0
134	71	0
135	89	0
136	123	0
137	157	0
138	183	0
139	185	0
140	168	0
141	135	0
142	99	0
143	75	0
144	72	0
145	89	0
146	122	0
147	159	0
148	182	0
149	185	0
150	169	0
151	135	0
152	99	0
153	75	0
154	71	0
155	89	0
156	123	0
157	157	0
158	182	0
159	187	0
160	168	0
161	135	0
162	99	0
163	75	0
164	71	0
165	89	0
166	123	0
167	158	0
168	181	0
169	187	0
170	168	0
171	135	0
172	99	0
173	75	0
174	71	0
175	89	0
176	123	0
177	157	0
178	181	0
179	187	0
180	169	0
181	135	0
182	100	0
183	75	0
184	71	0
185	89	0
186	122	0
187	158	0
188	182	0
189	185	0
190	169	0
191	135	0
192	99	0
193	75	0
194	72	0
195	89	0
196	123	0
197	159	0
198	181	0
199	185	0
200	169	0
201	136	0
202	99	0
203	75	0
204	71	0
205	89	0
206	123	0
207	157	0
208	181	0
209	185	0
210	168	0
211	135	0
212	99	0
213	75	0
214	71	0
215	89	0
216	123	0
217	157	0
218	181	0
