Oscilloscope data. 
Time step = 1,000 uS
Voltage step = 31,25 mV
Zero level = 128

N 	Smpl.	Trig

0	115	0
1	151	0
2	178	0
3	187	0
4	173	0
5	143	0
6	107	0
7	79	0
8	71	0
9	83	0
10	115	0
11	150	0
12	179	0
13	187	0
14	173	0
15	143	0
16	107	0
17	80	0
18	71	0
19	83	0
20	115	0
21	151	0
22	177	0
23	187	0
24	173	0
25	143	0
26	107	0
27	80	0
28	69	0
29	84	0
30	115	0
31	151	0
32	178	0
33	187	0
34	173	0
35	143	0
36	107	0
37	80	0
38	71	0
39	84	0
40	115	0
41	151	0
42	178	0
43	187	0
44	173	0
45	143	0
46	107	0
47	79	0
48	71	0
49	84	0
50	114	0
51	150	0
52	178	0
53	188	0
54	173	0
55	143	0
56	107	0
57	79	0
58	71	0
59	83	0
60	115	0
61	151	0
62	179	0
63	187	0
64	173	0
65	143	0
66	107	0
67	79	0
68	71	0
69	83	0
70	115	0
71	149	0
72	177	0
73	187	0
74	173	0
75	143	0
76	107	0
77	80	0
78	71	0
79	84	0
80	115	0
81	150	0
82	178	0
83	187	0
84	173	0
85	143	0
86	107	0
87	80	0
88	71	0
89	83	0
90	115	0
91	151	0
92	179	0
93	187	0
94	173	0
95	143	0
96	107	0
97	79	0
98	71	0
99	83	0
100	115	0
101	150	0
102	179	0
103	187	0
104	173	0
105	143	0
106	107	0
107	79	0
108	70	0
109	83	0
110	115	0
111	151	0
112	179	0
113	187	0
114	173	0
115	143	0
116	108	0
117	79	0
118	71	0
119	83	0
120	115	0
121	149	0
122	179	0
123	188	0
124	173	0
125	143	0
126	107	0
127	79	0
128	71	0
129	83	0
130	114	0
131	151	0
132	177	0
133	187	0
134	173	0
135	143	0
136	107	0
137	80	0
138	71	0
139	84	0
140	114	0
141	151	0
142	178	0
143	187	0
144	173	0
145	143	0
146	108	0
147	80	0
148	71	0
149	83	0
150	115	0
151	150	0
152	178	0
153	187	0
154	173	0
155	143	0
156	107	0
157	79	0
158	71	0
159	84	0
160	115	0
161	151	0
162	178	0
163	187	0
164	173	0
165	143	0
166	108	0
167	79	0
168	71	0
169	84	0
170	114	0
171	151	0
172	177	0
173	187	0
174	173	0
175	143	0
176	107	0
177	79	0
178	71	0
179	83	0
180	115	0
181	151	0
182	179	0
183	187	0
184	173	0
185	143	0
186	107	0
187	80	0
188	69	0
189	83	0
190	115	0
191	151	0
192	177	0
193	187	0
194	173	0
195	143	0
196	107	0
197	79	0
198	70	0
199	83	0
200	115	0
201	149	0
202	179	0
203	187	0
204	173	0
205	143	0
206	107	0
207	79	0
208	71	0
209	83	0
210	115	0
211	150	0
212	177	0
213	187	0
214	173	0
215	143	0
216	108	0
217	79	0
218	71	0
219	83	0
220	115	0
221	151	0
222	179	0
223	187	0
224	173	0
225	143	0
226	107	0
227	79	0
228	70	0
229	83	0
230	115	0
231	151	0
232	179	0
233	187	0
234	173	0
235	143	0
236	107	0
237	79	0
238	70	0
239	83	0
240	115	0
241	150	0
242	177	0
243	187	0
244	173	0
245	143	0
246	107	0
247	79	0
248	71	0
249	83	0
250	115	0
251	149	0
252	177	0
253	187	0
254	173	0
255	143	0
256	107	0
257	80	0
258	71	0
259	83	0
260	115	0
261	151	0
262	179	0
263	187	0
264	173	0
265	143	0
266	107	0
267	79	0
268	71	0
269	83	0
270	115	0
271	149	0
272	179	0
273	187	0
274	173	0
275	143	0
276	107	0
277	79	0
278	70	0
279	83	0
280	114	0
281	151	0
282	177	0
283	187	0
284	173	0
285	143	0
286	107	0
287	79	0
288	71	0
289	83	0
290	115	0
291	151	0
292	179	0
293	187	0
294	173	0
295	143	0
296	107	0
297	80	0
298	71	0
299	83	0
300	115	0
301	149	0
302	179	0
303	187	0
304	173	0
305	143	0
306	107	0
307	80	0
308	70	0
309	83	0
310	115	0
311	150	0
312	179	0
313	187	0
314	173	0
315	143	0
316	107	0
317	79	0
318	71	0
319	83	0
320	115	0
321	151	0
322	178	0
323	187	0
324	173	0
325	143	0
326	107	0
327	79	0
328	71	0
329	83	0
330	115	0
331	151	0
332	177	0
333	187	0
334	173	0
335	143	0
336	107	0
337	79	0
338	71	0
339	83	0
340	115	0
341	151	0
342	179	0
343	187	0
344	173	0
345	143	0
346	107	0
347	79	0
348	71	0
349	83	0
350	115	0
351	150	0
352	179	0
353	187	0
354	173	0
355	143	0
356	107	0
357	79	0
358	71	0
359	83	0
360	114	0
361	151	0
362	179	0
363	188	0
364	173	0
365	143	0
366	107	0
367	79	0
368	71	0
369	83	0
370	113	0
371	149	0
372	178	0
373	187	0
374	173	0
375	143	0
376	107	0
377	79	0
378	71	0
379	84	0
380	114	0
381	151	0
382	179	0
383	187	0
384	173	0
385	143	0
386	107	0
387	79	0
388	71	0
389	83	0
390	115	0
391	151	0
392	179	0
393	187	0
394	173	0
395	143	0
396	107	0
397	80	0
398	71	0
399	84	0
400	115	0
401	149	0
402	178	0
403	187	0
404	173	0
405	143	0
406	107	0
407	80	0
408	71	0
409	83	0
410	115	0
411	151	0
412	179	0
413	187	0
414	173	0
415	143	0
416	107	0
417	79	0
418	71	0
419	83	0
420	114	0
421	150	0
422	177	0
423	187	0
424	173	0
425	143	0
426	107	0
427	79	0
428	70	0
429	83	0
430	114	0
431	149	0
432	179	0
433	187	0
434	173	0
435	143	0
436	107	0
437	79	0
438	71	0
439	83	0
440	115	0
441	151	0
442	178	0
443	187	0
444	173	0
445	143	0
446	107	0
447	79	0
448	71	0
449	84	0
450	115	0
451	149	0
452	179	0
453	187	0
454	173	0
455	143	0
456	107	0
457	79	0
458	71	0
459	83	0
460	115	0
461	151	0
462	177	0
463	188	0
464	173	0
465	143	0
466	107	0
467	79	0
468	71	0
469	84	0
470	115	0
471	151	0
472	177	0
473	187	0
474	173	0
475	143	0
476	107	0
477	79	0
478	70	0
479	83	0
480	115	0
481	151	0
482	179	0
483	187	0
484	173	0
485	143	0
486	107	0
487	80	0
488	69	0
489	83	0
490	115	0
491	151	0
492	179	0
493	187	0
494	173	0
495	143	0
496	107	0
497	80	0
498	71	0
499	84	0
500	115	0
501	149	0
502	179	0
503	188	0
504	173	0
505	143	0
506	108	0
507	79	0
508	70	0
509	83	0
510	114	0
511	149	0
512	179	0
513	187	0
514	173	0
515	143	0
516	108	0
517	79	0
518	71	0
519	84	0
520	115	0
521	149	0
522	178	0
523	187	0
524	173	0
525	143	0
526	107	0
527	79	0
528	71	0
529	83	0
530	115	0
531	151	0
532	178	0
533	187	0
534	173	0
535	143	0
536	107	0
537	80	0
538	70	0
539	83	0
540	114	0
541	151	0
542	177	0
543	187	0
544	173	0
545	143	0
546	107	0
547	79	0
548	71	0
549	83	0
550	115	0
551	151	0
552	179	0
553	187	0
554	173	0
555	143	0
556	107	0
557	80	0
558	70	0
559	83	0
560	115	0
561	151	0
562	179	0
563	187	0
564	173	0
565	143	0
566	107	0
567	79	0
568	71	0
569	83	0
570	115	0
571	151	0
572	177	0
573	187	0
574	173	0
575	143	0
576	107	0
577	79	0
578	71	0
579	83	0
580	113	0
581	150	0
582	179	0
583	187	0
584	173	0
585	143	0
586	107	0
587	79	0
588	71	0
589	83	0
590	113	0
591	150	0
592	177	0
593	187	0
594	173	0
595	143	0
596	108	0
597	79	0
598	71	0
599	83	0
600	115	0
601	150	0
602	178	0
603	187	0
604	173	0
605	143	0
606	107	0
607	80	0
608	70	0
609	83	0
610	114	0
611	151	0
612	179	0
613	187	0
614	173	0
615	143	0
616	107	0
617	79	0
618	71	0
619	84	0
620	113	0
621	151	0
622	177	0
623	187	0
624	173	0
625	143	0
626	107	0
627	79	0
628	71	0
629	84	0
630	114	0
631	151	0
632	178	0
633	187	0
634	173	0
635	143	0
636	108	0
637	80	0
638	71	0
639	83	0
640	115	0
641	150	0
642	179	0
643	187	0
644	173	0
645	143	0
646	107	0
647	79	0
648	71	0
649	83	0
650	115	0
651	151	0
652	177	0
653	187	0
654	173	0
655	143	0
656	108	0
657	80	0
658	70	0
659	83	0
660	115	0
661	151	0
662	178	0
663	187	0
664	173	0
665	143	0
666	107	0
667	79	0
668	71	0
669	83	0
670	115	0
671	151	0
672	177	0
673	187	0
674	173	0
675	143	0
676	107	0
677	79	0
678	71	0
679	83	0
680	115	0
681	151	0
682	177	0
683	187	0
684	173	0
685	143	0
686	107	0
687	79	0
688	71	0
689	83	0
690	115	0
691	151	0
692	179	0
693	187	0
694	173	0
695	143	0
696	107	0
697	79	0
698	71	0
699	83	0
700	115	0
701	151	0
702	177	0
703	187	0
704	173	0
705	143	0
706	108	0
707	79	0
708	71	0
709	83	0
710	114	0
711	151	0
712	177	0
713	187	0
714	173	0
715	143	0
716	107	0
717	80	0
718	70	0
719	83	0
720	114	0
721	149	0
722	179	0
723	187	0
724	173	0
725	143	0
726	107	0
727	79	0
728	71	0
729	83	0
730	115	0
731	150	0
732	177	0
733	187	0
734	173	0
735	143	0
736	107	0
737	80	0
738	71	0
739	83	0
740	114	0
741	151	0
742	179	0
743	187	0
744	173	0
745	143	0
746	107	0
747	79	0
748	71	0
749	83	0
750	115	0
751	151	0
752	179	0
753	187	0
754	173	0
755	143	0
756	107	0
757	79	0
758	70	0
759	83	0
760	115	0
761	151	0
762	178	0
763	187	0
764	173	0
765	143	0
766	107	0
767	80	0
768	71	0
769	83	0
770	115	0
771	151	0
772	179	0
773	188	0
774	173	0
775	143	0
776	107	0
777	79	0
778	71	0
779	84	0
780	115	0
781	151	0
782	177	0
783	187	0
784	173	0
785	143	0
786	108	0
787	80	0
788	71	0
789	83	0
790	115	0
791	151	0
792	177	0
793	187	0
794	173	0
795	143	0
796	107	0
797	79	0
798	71	0
799	83	0
800	115	0
801	149	0
802	178	0
803	187	0
804	174	0
805	143	0
806	107	0
807	80	0
808	71	0
809	84	0
810	115	0
811	150	0
812	177	0
813	187	0
814	173	0
815	143	0
816	107	0
817	79	0
818	71	0
819	83	0
820	115	0
821	150	0
822	179	0
823	187	0
824	173	0
825	143	0
826	108	0
827	79	0
828	70	0
829	83	0
830	115	0
831	151	0
832	177	0
833	187	0
834	173	0
835	143	0
836	107	0
837	80	0
838	71	0
839	83	0
840	115	0
841	151	0
842	179	0
843	187	0
844	173	0
845	143	0
846	107	0
847	79	0
848	70	0
849	83	0
850	115	0
851	149	0
852	178	0
853	187	0
854	173	0
855	143	0
856	107	0
857	80	0
858	71	0
859	84	0
860	115	0
861	150	0
862	178	0
863	187	0
864	173	0
865	143	0
866	108	0
867	79	0
868	71	0
869	84	0
870	115	0
871	151	0
872	179	0
873	187	0
874	173	0
875	143	0
876	107	0
877	80	0
